item_id,title,description,category,content_type,created_date,duration_minutes,word_count,author,tags
0,Sample post about sports #0,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-05-21,,,Author_30,"['tag_9', 'tag_12', 'tag_6']"
1,Sample article about sports #1,This is a article about sports. Lorem ipsum dolor sit amet.,sports,article,2025-04-03,,985,Author_38,['tag_10']
2,Sample video about travel #2,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2025-05-31,10,,Author_38,"['tag_8', 'tag_4', 'tag_10']"
3,Sample post about sports #3,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-08-19,,,Author_23,"['tag_14', 'tag_12', 'tag_3']"
4,Sample article about health #4,This is a article about health. Lorem ipsum dolor sit amet.,health,article,2025-02-06,,4115,Author_7,"['tag_12', 'tag_15']"
5,Sample video about entertainment #5,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2025-06-11,94,,Author_34,"['tag_9', 'tag_20', 'tag_18']"
6,Sample video about food #6,This is a video about food. Lorem ipsum dolor sit amet.,food,video,2025-01-29,106,,Author_47,"['tag_9', 'tag_11', 'tag_8']"
7,Sample video about sports #7,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2025-01-22,32,,Author_49,"['tag_19', 'tag_20']"
8,Sample video about travel #8,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2025-08-26,64,,Author_21,['tag_16']
9,Sample video about science #9,This is a video about science. Lorem ipsum dolor sit amet.,science,video,2025-04-30,44,,Author_18,"['tag_9', 'tag_18', 'tag_1']"
10,Sample article about science #10,This is a article about science. Lorem ipsum dolor sit amet.,science,article,2025-05-09,,3429,Author_32,"['tag_8', 'tag_16', 'tag_16']"
11,Sample article about food #11,This is a article about food. Lorem ipsum dolor sit amet.,food,article,2025-07-24,,2510,Author_15,"['tag_8', 'tag_10']"
12,Sample video about health #12,This is a video about health. Lorem ipsum dolor sit amet.,health,video,2024-11-30,68,,Author_23,"['tag_18', 'tag_11']"
13,Sample post about health #13,This is a post about health. Lorem ipsum dolor sit amet.,health,post,2025-01-20,,,Author_18,"['tag_9', 'tag_8']"
14,Sample post about sports #14,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-06-03,,,Author_21,['tag_18']
15,Sample article about entertainment #15,This is a article about entertainment. Lorem ipsum dolor sit amet.,entertainment,article,2025-05-22,,4066,Author_18,"['tag_19', 'tag_17', 'tag_20']"
16,Sample article about politics #16,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2025-06-02,,2526,Author_15,"['tag_6', 'tag_10']"
17,Sample post about technology #17,This is a post about technology. Lorem ipsum dolor sit amet.,technology,post,2024-12-10,,,Author_9,"['tag_2', 'tag_2']"
18,Sample post about politics #18,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2025-07-07,,,Author_41,"['tag_4', 'tag_1']"
19,Sample video about politics #19,This is a video about politics. Lorem ipsum dolor sit amet.,politics,video,2025-01-07,57,,Author_22,['tag_2']
20,Sample video about politics #20,This is a video about politics. Lorem ipsum dolor sit amet.,politics,video,2025-07-13,106,,Author_5,"['tag_16', 'tag_3']"
21,Sample article about technology #21,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2025-06-25,,4710,Author_20,['tag_8']
22,Sample post about sports #22,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-02-08,,,Author_39,"['tag_20', 'tag_8', 'tag_17']"
23,Sample video about travel #23,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2025-01-26,39,,Author_38,"['tag_10', 'tag_19']"
24,Sample post about technology #24,This is a post about technology. Lorem ipsum dolor sit amet.,technology,post,2025-07-21,,,Author_49,['tag_7']
25,Sample post about politics #25,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2025-07-30,,,Author_11,['tag_6']
26,Sample article about sports #26,This is a article about sports. Lorem ipsum dolor sit amet.,sports,article,2025-09-08,,3446,Author_29,"['tag_20', 'tag_16', 'tag_10']"
27,Sample article about technology #27,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2025-04-15,,2416,Author_45,"['tag_3', 'tag_8']"
28,Sample post about politics #28,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2024-11-12,,,Author_43,['tag_14']
29,Sample post about sports #29,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-05-17,,,Author_42,['tag_9']
30,Sample article about entertainment #30,This is a article about entertainment. Lorem ipsum dolor sit amet.,entertainment,article,2025-08-10,,1459,Author_20,"['tag_19', 'tag_10', 'tag_15']"
31,Sample video about sports #31,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2024-09-22,39,,Author_45,"['tag_9', 'tag_17']"
32,Sample video about food #32,This is a video about food. Lorem ipsum dolor sit amet.,food,video,2025-07-30,77,,Author_3,"['tag_11', 'tag_20']"
33,Sample article about politics #33,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2025-07-25,,1975,Author_44,"['tag_19', 'tag_1', 'tag_9']"
34,Sample article about technology #34,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2025-01-12,,4351,Author_42,"['tag_9', 'tag_6']"
35,Sample post about travel #35,This is a post about travel. Lorem ipsum dolor sit amet.,travel,post,2025-01-01,,,Author_6,"['tag_12', 'tag_14']"
36,Sample video about health #36,This is a video about health. Lorem ipsum dolor sit amet.,health,video,2024-10-01,14,,Author_11,"['tag_14', 'tag_16']"
37,Sample post about politics #37,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2025-02-16,,,Author_49,"['tag_2', 'tag_15', 'tag_3']"
38,Sample video about health #38,This is a video about health. Lorem ipsum dolor sit amet.,health,video,2025-03-28,15,,Author_50,"['tag_17', 'tag_1']"
39,Sample video about food #39,This is a video about food. Lorem ipsum dolor sit amet.,food,video,2025-08-13,25,,Author_34,"['tag_20', 'tag_16']"
40,Sample article about food #40,This is a article about food. Lorem ipsum dolor sit amet.,food,article,2025-05-28,,2287,Author_36,['tag_10']
41,Sample post about food #41,This is a post about food. Lorem ipsum dolor sit amet.,food,post,2025-01-04,,,Author_8,['tag_20']
42,Sample post about science #42,This is a post about science. Lorem ipsum dolor sit amet.,science,post,2025-06-20,,,Author_20,"['tag_1', 'tag_18', 'tag_14']"
43,Sample article about sports #43,This is a article about sports. Lorem ipsum dolor sit amet.,sports,article,2025-07-13,,3880,Author_8,"['tag_5', 'tag_16', 'tag_10']"
44,Sample video about politics #44,This is a video about politics. Lorem ipsum dolor sit amet.,politics,video,2025-01-05,61,,Author_16,"['tag_18', 'tag_5']"
45,Sample article about travel #45,This is a article about travel. Lorem ipsum dolor sit amet.,travel,article,2024-11-07,,4263,Author_48,['tag_3']
46,Sample video about politics #46,This is a video about politics. Lorem ipsum dolor sit amet.,politics,video,2025-03-19,120,,Author_33,"['tag_1', 'tag_10']"
47,Sample post about politics #47,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2024-11-17,,,Author_43,"['tag_5', 'tag_15']"
48,Sample video about food #48,This is a video about food. Lorem ipsum dolor sit amet.,food,video,2025-03-23,71,,Author_49,"['tag_13', 'tag_15', 'tag_11']"
49,Sample post about science #49,This is a post about science. Lorem ipsum dolor sit amet.,science,post,2025-05-10,,,Author_37,"['tag_8', 'tag_14']"
50,Sample video about technology #50,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2025-01-10,91,,Author_25,"['tag_5', 'tag_16']"
51,Sample article about technology #51,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2024-12-26,,4934,Author_22,['tag_15']
52,Sample post about sports #52,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-01-19,,,Author_1,"['tag_5', 'tag_14', 'tag_5']"
53,Sample video about sports #53,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2025-04-27,44,,Author_40,"['tag_13', 'tag_3', 'tag_11']"
54,Sample video about travel #54,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2024-10-24,92,,Author_49,"['tag_18', 'tag_2']"
55,Sample article about sports #55,This is a article about sports. Lorem ipsum dolor sit amet.,sports,article,2024-10-21,,2454,Author_15,"['tag_3', 'tag_14', 'tag_4']"
56,Sample video about sports #56,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2025-06-16,89,,Author_20,['tag_2']
57,Sample article about health #57,This is a article about health. Lorem ipsum dolor sit amet.,health,article,2025-04-12,,3036,Author_24,"['tag_5', 'tag_8']"
58,Sample post about travel #58,This is a post about travel. Lorem ipsum dolor sit amet.,travel,post,2024-09-25,,,Author_12,['tag_6']
59,Sample post about sports #59,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-02-26,,,Author_40,"['tag_8', 'tag_16', 'tag_19']"
60,Sample article about entertainment #60,This is a article about entertainment. Lorem ipsum dolor sit amet.,entertainment,article,2025-01-16,,2180,Author_30,"['tag_1', 'tag_15']"
61,Sample post about politics #61,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2024-12-04,,,Author_11,['tag_15']
62,Sample post about health #62,This is a post about health. Lorem ipsum dolor sit amet.,health,post,2025-04-09,,,Author_41,"['tag_9', 'tag_15']"
63,Sample article about politics #63,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2025-02-25,,4058,Author_7,['tag_13']
64,Sample post about health #64,This is a post about health. Lorem ipsum dolor sit amet.,health,post,2025-04-11,,,Author_45,"['tag_1', 'tag_13']"
65,Sample article about politics #65,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2024-11-24,,501,Author_39,"['tag_16', 'tag_10', 'tag_8']"
66,Sample article about health #66,This is a article about health. Lorem ipsum dolor sit amet.,health,article,2024-10-19,,1657,Author_40,"['tag_5', 'tag_4']"
67,Sample video about technology #67,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2025-01-27,5,,Author_38,"['tag_5', 'tag_3']"
68,Sample video about politics #68,This is a video about politics. Lorem ipsum dolor sit amet.,politics,video,2025-02-09,23,,Author_13,['tag_18']
69,Sample post about health #69,This is a post about health. Lorem ipsum dolor sit amet.,health,post,2024-12-27,,,Author_18,['tag_9']
70,Sample video about food #70,This is a video about food. Lorem ipsum dolor sit amet.,food,video,2025-03-20,103,,Author_8,"['tag_3', 'tag_5']"
71,Sample post about science #71,This is a post about science. Lorem ipsum dolor sit amet.,science,post,2024-09-29,,,Author_26,"['tag_12', 'tag_3', 'tag_13']"
72,Sample video about technology #72,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2024-12-09,16,,Author_30,"['tag_9', 'tag_19']"
73,Sample post about travel #73,This is a post about travel. Lorem ipsum dolor sit amet.,travel,post,2025-03-03,,,Author_7,"['tag_8', 'tag_16', 'tag_1']"
74,Sample post about health #74,This is a post about health. Lorem ipsum dolor sit amet.,health,post,2025-05-19,,,Author_42,['tag_15']
75,Sample post about politics #75,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2025-02-12,,,Author_8,['tag_2']
76,Sample video about technology #76,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2024-12-31,15,,Author_7,['tag_18']
77,Sample video about entertainment #77,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2025-01-20,48,,Author_43,"['tag_18', 'tag_14', 'tag_19']"
78,Sample video about entertainment #78,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2024-10-09,13,,Author_32,"['tag_14', 'tag_9', 'tag_2']"
79,Sample article about health #79,This is a article about health. Lorem ipsum dolor sit amet.,health,article,2025-01-25,,3742,Author_16,"['tag_4', 'tag_12']"
80,Sample article about health #80,This is a article about health. Lorem ipsum dolor sit amet.,health,article,2025-02-18,,2360,Author_13,['tag_15']
81,Sample post about sports #81,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2025-05-24,,,Author_42,"['tag_20', 'tag_1', 'tag_2']"
82,Sample article about health #82,This is a article about health. Lorem ipsum dolor sit amet.,health,article,2025-07-07,,4725,Author_14,['tag_18']
83,Sample post about science #83,This is a post about science. Lorem ipsum dolor sit amet.,science,post,2025-05-22,,,Author_15,"['tag_5', 'tag_20']"
84,Sample video about technology #84,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2025-06-27,17,,Author_35,"['tag_6', 'tag_4']"
85,Sample article about technology #85,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2025-09-02,,3034,Author_16,"['tag_11', 'tag_1', 'tag_6']"
86,Sample article about politics #86,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2025-07-07,,3548,Author_34,['tag_3']
87,Sample video about food #87,This is a video about food. Lorem ipsum dolor sit amet.,food,video,2025-03-08,66,,Author_38,['tag_15']
88,Sample post about science #88,This is a post about science. Lorem ipsum dolor sit amet.,science,post,2025-08-18,,,Author_47,"['tag_17', 'tag_10', 'tag_15']"
89,Sample article about technology #89,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2025-01-07,,3390,Author_28,"['tag_4', 'tag_16', 'tag_15']"
90,Sample article about sports #90,This is a article about sports. Lorem ipsum dolor sit amet.,sports,article,2025-03-29,,1315,Author_5,['tag_9']
91,Sample video about health #91,This is a video about health. Lorem ipsum dolor sit amet.,health,video,2024-11-08,68,,Author_19,"['tag_17', 'tag_20']"
92,Sample article about travel #92,This is a article about travel. Lorem ipsum dolor sit amet.,travel,article,2024-09-15,,1037,Author_42,"['tag_18', 'tag_7', 'tag_14']"
93,Sample article about food #93,This is a article about food. Lorem ipsum dolor sit amet.,food,article,2025-02-10,,2876,Author_30,"['tag_14', 'tag_4']"
94,Sample video about health #94,This is a video about health. Lorem ipsum dolor sit amet.,health,video,2025-04-02,86,,Author_17,"['tag_5', 'tag_16']"
95,Sample article about sports #95,This is a article about sports. Lorem ipsum dolor sit amet.,sports,article,2025-07-28,,863,Author_28,['tag_12']
96,Sample post about entertainment #96,This is a post about entertainment. Lorem ipsum dolor sit amet.,entertainment,post,2025-08-10,,,Author_38,"['tag_18', 'tag_11', 'tag_4']"
97,Sample video about travel #97,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2024-10-04,97,,Author_28,"['tag_2', 'tag_10', 'tag_20']"
98,Sample video about politics #98,This is a video about politics. Lorem ipsum dolor sit amet.,politics,video,2025-07-18,74,,Author_33,['tag_5']
99,Sample article about food #99,This is a article about food. Lorem ipsum dolor sit amet.,food,article,2025-07-16,,2968,Author_36,"['tag_4', 'tag_9']"
100,Sample video about science #100,This is a video about science. Lorem ipsum dolor sit amet.,science,video,2024-11-26,99,,Author_40,"['tag_18', 'tag_1', 'tag_20']"
101,Sample article about politics #101,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2025-06-09,,2338,Author_45,"['tag_11', 'tag_12']"
102,Sample article about technology #102,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2025-06-28,,4739,Author_43,"['tag_3', 'tag_5']"
103,Sample article about technology #103,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2024-12-12,,1862,Author_25,"['tag_15', 'tag_11']"
104,Sample video about entertainment #104,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2025-04-03,93,,Author_21,"['tag_20', 'tag_3', 'tag_2']"
105,Sample article about entertainment #105,This is a article about entertainment. Lorem ipsum dolor sit amet.,entertainment,article,2024-10-28,,507,Author_44,['tag_9']
106,Sample post about food #106,This is a post about food. Lorem ipsum dolor sit amet.,food,post,2025-02-04,,,Author_32,"['tag_15', 'tag_14', 'tag_9']"
107,Sample post about science #107,This is a post about science. Lorem ipsum dolor sit amet.,science,post,2025-07-13,,,Author_23,"['tag_4', 'tag_10']"
108,Sample post about food #108,This is a post about food. Lorem ipsum dolor sit amet.,food,post,2024-10-03,,,Author_20,['tag_8']
109,Sample post about travel #109,This is a post about travel. Lorem ipsum dolor sit amet.,travel,post,2025-08-12,,,Author_1,['tag_10']
110,Sample article about science #110,This is a article about science. Lorem ipsum dolor sit amet.,science,article,2025-05-02,,2471,Author_21,['tag_1']
111,Sample post about food #111,This is a post about food. Lorem ipsum dolor sit amet.,food,post,2025-02-01,,,Author_12,['tag_13']
112,Sample post about science #112,This is a post about science. Lorem ipsum dolor sit amet.,science,post,2024-11-27,,,Author_43,"['tag_3', 'tag_13']"
113,Sample video about technology #113,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2025-08-31,59,,Author_5,"['tag_19', 'tag_14']"
114,Sample post about travel #114,This is a post about travel. Lorem ipsum dolor sit amet.,travel,post,2024-10-17,,,Author_27,"['tag_4', 'tag_13']"
115,Sample video about technology #115,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2025-06-14,103,,Author_40,"['tag_12', 'tag_3']"
116,Sample article about travel #116,This is a article about travel. Lorem ipsum dolor sit amet.,travel,article,2025-05-08,,3669,Author_38,"['tag_17', 'tag_3']"
117,Sample video about travel #117,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2025-03-20,29,,Author_22,['tag_3']
118,Sample post about sports #118,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2024-12-22,,,Author_13,"['tag_12', 'tag_5']"
119,Sample article about science #119,This is a article about science. Lorem ipsum dolor sit amet.,science,article,2025-06-27,,2196,Author_13,['tag_20']
120,Sample post about entertainment #120,This is a post about entertainment. Lorem ipsum dolor sit amet.,entertainment,post,2025-08-02,,,Author_12,"['tag_16', 'tag_15', 'tag_19']"
121,Sample post about food #121,This is a post about food. Lorem ipsum dolor sit amet.,food,post,2024-11-24,,,Author_42,"['tag_20', 'tag_11', 'tag_11']"
122,Sample video about entertainment #122,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2025-08-06,61,,Author_29,"['tag_10', 'tag_9', 'tag_19']"
123,Sample video about technology #123,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2024-12-24,10,,Author_20,"['tag_15', 'tag_2']"
124,Sample video about technology #124,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2025-04-16,10,,Author_42,['tag_20']
125,Sample video about travel #125,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2024-11-16,71,,Author_48,['tag_15']
126,Sample video about science #126,This is a video about science. Lorem ipsum dolor sit amet.,science,video,2024-11-04,61,,Author_33,['tag_2']
127,Sample article about food #127,This is a article about food. Lorem ipsum dolor sit amet.,food,article,2025-03-18,,790,Author_33,"['tag_6', 'tag_2', 'tag_8']"
128,Sample video about food #128,This is a video about food. Lorem ipsum dolor sit amet.,food,video,2024-12-15,67,,Author_40,['tag_12']
129,Sample video about health #129,This is a video about health. Lorem ipsum dolor sit amet.,health,video,2025-02-23,53,,Author_50,"['tag_20', 'tag_2']"
130,Sample article about health #130,This is a article about health. Lorem ipsum dolor sit amet.,health,article,2025-03-25,,874,Author_36,"['tag_13', 'tag_10', 'tag_9']"
131,Sample video about entertainment #131,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2025-07-30,75,,Author_43,['tag_12']
132,Sample post about politics #132,This is a post about politics. Lorem ipsum dolor sit amet.,politics,post,2024-09-17,,,Author_43,"['tag_5', 'tag_20']"
133,Sample video about sports #133,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2024-11-27,49,,Author_42,"['tag_5', 'tag_17']"
134,Sample post about sports #134,This is a post about sports. Lorem ipsum dolor sit amet.,sports,post,2024-10-01,,,Author_28,"['tag_12', 'tag_1', 'tag_12']"
135,Sample article about politics #135,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2025-05-23,,2899,Author_50,"['tag_7', 'tag_8']"
136,Sample article about entertainment #136,This is a article about entertainment. Lorem ipsum dolor sit amet.,entertainment,article,2025-08-01,,2523,Author_7,"['tag_18', 'tag_17', 'tag_2']"
137,Sample post about health #137,This is a post about health. Lorem ipsum dolor sit amet.,health,post,2025-07-04,,,Author_39,"['tag_5', 'tag_6']"
138,Sample post about entertainment #138,This is a post about entertainment. Lorem ipsum dolor sit amet.,entertainment,post,2024-10-25,,,Author_11,"['tag_15', 'tag_2', 'tag_14']"
139,Sample post about health #139,This is a post about health. Lorem ipsum dolor sit amet.,health,post,2025-05-11,,,Author_29,"['tag_10', 'tag_15', 'tag_8']"
140,Sample video about science #140,This is a video about science. Lorem ipsum dolor sit amet.,science,video,2025-01-12,116,,Author_13,"['tag_19', 'tag_15']"
141,Sample video about food #141,This is a video about food. Lorem ipsum dolor sit amet.,food,video,2025-02-26,65,,Author_34,"['tag_6', 'tag_7']"
142,Sample video about entertainment #142,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2025-08-14,83,,Author_31,"['tag_18', 'tag_4']"
143,Sample video about sports #143,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2025-07-29,98,,Author_11,"['tag_15', 'tag_17']"
144,Sample video about entertainment #144,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2025-07-25,117,,Author_15,"['tag_12', 'tag_1']"
145,Sample article about travel #145,This is a article about travel. Lorem ipsum dolor sit amet.,travel,article,2025-02-19,,4212,Author_24,['tag_13']
146,Sample video about sports #146,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2025-05-18,4,,Author_21,['tag_11']
147,Sample article about entertainment #147,This is a article about entertainment. Lorem ipsum dolor sit amet.,entertainment,article,2025-08-21,,2450,Author_31,"['tag_5', 'tag_16', 'tag_15']"
148,Sample article about technology #148,This is a article about technology. Lorem ipsum dolor sit amet.,technology,article,2025-08-31,,2196,Author_14,['tag_18']
149,Sample article about travel #149,This is a article about travel. Lorem ipsum dolor sit amet.,travel,article,2025-04-15,,2046,Author_20,['tag_2']
150,Sample video about science #150,This is a video about science. Lorem ipsum dolor sit amet.,science,video,2024-10-17,102,,Author_40,"['tag_3', 'tag_4']"
151,Sample post about food #151,This is a post about food. Lorem ipsum dolor sit amet.,food,post,2024-12-09,,,Author_2,"['tag_17', 'tag_19', 'tag_8']"
152,Sample video about entertainment #152,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2025-02-02,1,,Author_40,"['tag_8', 'tag_19']"
153,Sample article about travel #153,This is a article about travel. Lorem ipsum dolor sit amet.,travel,article,2024-10-04,,801,Author_34,"['tag_3', 'tag_17']"
154,Sample video about technology #154,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2025-01-12,6,,Author_41,"['tag_12', 'tag_9']"
155,Sample video about technology #155,This is a video about technology. Lorem ipsum dolor sit amet.,technology,video,2025-08-06,45,,Author_16,"['tag_4', 'tag_19', 'tag_11']"
156,Sample article about entertainment #156,This is a article about entertainment. Lorem ipsum dolor sit amet.,entertainment,article,2025-03-13,,4572,Author_22,"['tag_6', 'tag_15', 'tag_16']"
157,Sample article about entertainment #157,This is a article about entertainment. Lorem ipsum dolor sit amet.,entertainment,article,2025-08-08,,3849,Author_3,"['tag_7', 'tag_2']"
158,Sample article about science #158,This is a article about science. Lorem ipsum dolor sit amet.,science,article,2025-04-01,,2640,Author_33,"['tag_18', 'tag_16']"
159,Sample article about politics #159,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2024-10-13,,1665,Author_19,"['tag_2', 'tag_11']"
160,Sample article about politics #160,This is a article about politics. Lorem ipsum dolor sit amet.,politics,article,2025-03-05,,3679,Author_26,"['tag_15', 'tag_13', 'tag_11']"
161,Sample video about entertainment #161,This is a video about entertainment. Lorem ipsum dolor sit amet.,entertainment,video,2024-09-20,64,,Author_24,"['tag_9', 'tag_3', 'tag_14']"
162,Sample video about sports #162,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2024-11-05,106,,Author_12,"['tag_10', 'tag_11', 'tag_4']"
163,Sample video about sports #163,This is a video about sports. Lorem ipsum dolor sit amet.,sports,video,2024-10-06,38,,Author_20,"['tag_20', 'tag_14']"
164,Sample post about entertainment #164,This is a post about entertainment. Lorem ipsum dolor sit amet.,entertainment,post,2025-01-25,,,Author_23,"['tag_2', 'tag_12']"
165,Sample video about travel #165,This is a video about travel. Lorem ipsum dolor sit amet.,travel,video,2024-10-17,102,,Author_4,['tag_13']
166,Sample post about health #166,This is a post about health. Lorem ipsum dolor sit amet.,health,post,2024-09-27,,,Author_11,['tag_5']
